Radius1               | Radius2               | SB                        |   SBError         | BGRD                         |      BGRDError    | BinNo
              144.156 |               148.584 |         3.27685910288e-08 | 1.65404186521e-10 |            2.58531256638e-09 | 4.64594591689e-11 |        186 
              148.584 |               153.012 |         3.05814259107e-08 | 1.57397669712e-10 |            2.58975739221e-09 | 4.58035336042e-11 |        187 
              153.012 |                157.44 |         2.87000394572e-08 | 1.52046514246e-10 |             2.6092928915e-09 | 4.58454918713e-11 |        188 
               157.44 |               161.868 |         2.75538892973e-08 | 1.47702655708e-10 |            2.59317373875e-09 |  4.5311940858e-11 |        189 
              161.868 |               166.296 |         2.57778040199e-08 | 1.41641487896e-10 |            2.58188672875e-09 | 4.48266325529e-11 |        190 
              166.296 |               170.724 |         2.45645995249e-08 | 1.36371004001e-10 |            2.57020019249e-09 | 4.41113819541e-11 |        191 
              170.724 |               175.152 |         2.36724631913e-08 | 1.30737711676e-10 |            2.58145456996e-09 | 4.31729167002e-11 |        192 
              175.152 |                179.58 |         2.25636427908e-08 | 1.24863608522e-10 |            2.58095028483e-09 |  4.2230000186e-11 |        193 
               179.58 |               184.008 |         2.16651376729e-08 | 1.21716614116e-10 |            2.57540163922e-09 | 4.19654232439e-11 |        194 
              184.008 |               188.436 |         2.10348119227e-08 | 1.18527656397e-10 |            2.58422237228e-09 | 4.15446695417e-11 |        195 
              188.436 |               192.864 |         2.00996546781e-08 | 1.14272005317e-10 |            2.60167637515e-09 |   4.111234017e-11 |        196 
              192.864 |               197.784 |         1.94227774988e-08 | 1.05424190718e-10 |            2.59713400556e-09 | 3.85506582466e-11 |        197 
              197.784 |               202.704 |         1.87195782899e-08 | 1.04377765361e-10 |            2.60824420125e-09 | 3.89613604384e-11 |        198 
              202.704 |               207.624 |         1.81084901449e-08 | 1.01949284247e-10 |            2.60594185029e-09 | 3.86745634787e-11 |        199 
              207.624 |               212.544 |         1.73567244924e-08 | 9.86814709249e-11 |            2.60720303866e-09 | 3.82462763534e-11 |        200 
              212.544 |               217.956 |         1.65578789241e-08 |  9.1043662204e-11 |            2.60025408351e-09 | 3.60790653063e-11 |        201 
              217.956 |               223.368 |         1.60540268031e-08 | 8.78558445762e-11 |            2.62955393808e-09 | 3.55565558951e-11 |        202 
              223.368 |                228.78 |         1.50856130383e-08 | 8.36647811412e-11 |            2.61895250474e-09 | 3.48598093096e-11 |        203 
               228.78 |               234.192 |         1.43847481406e-08 |  8.0728856955e-11 |             2.6570892965e-09 | 3.46961074894e-11 |        204 
              234.192 |               239.604 |         1.35902412009e-08 | 7.70751736753e-11 |            2.63875505524e-09 | 3.39625642181e-11 |        205 
              239.604 |               245.016 |         1.30191240103e-08 | 7.54030436985e-11 |            2.66672764122e-09 | 3.41261526951e-11 |        206 
