Bin | Vol (cm^3) | T (kT) | kT_lo  |  kT_hi |  n (cm^-3) |       n_lo |       n_hi | P (erg cm^-3) |       P_lo |       P_hi |      Yparm
 86 | 1.2128e+70 | 7.3931 | 0.4277 | 0.4328 |  0.0030337 | 0.00041585 | 0.00041598 |     3.593e-11 | 5.3459e-12 | 5.3569e-12 | 1.3183e-05
 87 | 1.2081e+70 | 7.8793 | 0.4347 | 0.4388 |  0.0029605 |  0.0004173 | 0.00041717 |     3.737e-11 | 5.6565e-12 | 5.6621e-12 | 1.3812e-05
 88 | 1.2385e+70 | 7.2082 |  0.422 |  0.435 |  0.0029696 | 0.00041079 | 0.00041015 |    3.4291e-11 |  5.151e-12 | 5.1685e-12 | 1.2765e-05
 89 | 1.2683e+70 | 7.0517 | 0.3555 | 0.4301 |  0.0029179 | 0.00041237 | 0.00041187 |    3.2963e-11 |  4.946e-12 | 5.0686e-12 | 1.2357e-05
 90 | 1.4568e+70 |  7.653 | 0.4253 | 0.4298 |  0.0028166 | 0.00039283 | 0.00039268 |    3.4532e-11 | 5.1844e-12 | 5.1903e-12 | 1.3493e-05
 91 | 1.3623e+70 | 7.2933 | 0.4361 | 0.4406 |   0.002813 |  0.0003969 | 0.00039678 |    3.2866e-11 | 5.0365e-12 | 5.0432e-12 | 1.2445e-05
 92 | 1.4103e+70 | 6.9694 | 0.3879 | 0.4361 |  0.0028329 |  0.0003883 | 0.00038737 |    3.1629e-11 | 4.6792e-12 | 4.7563e-12 | 1.2059e-05
 93 | 1.4386e+70 | 7.1232 | 0.4251 | 0.4358 |  0.0027947 | 0.00038924 | 0.00038813 |    3.1891e-11 | 4.8324e-12 | 4.8398e-12 | 1.2186e-05
 94 | 1.4708e+70 | 7.4111 |  0.436 | 0.4406 |  0.0027446 |   0.000388 | 0.00038767 |    3.2585e-11 | 4.9895e-12 | 4.9937e-12 | 1.2529e-05
 95 | 1.5011e+70 | 6.8972 | 0.3595 | 0.4386 |  0.0027642 | 0.00038145 | 0.00039285 |    3.0543e-11 | 4.5054e-12 | 4.7555e-12 | 1.1815e-05
 96 | 1.5096e+70 |  6.474 | 0.2903 |  0.294 |  0.0027248 | 0.00039082 | 0.00039264 |     2.826e-11 | 4.2468e-12 | 4.2697e-12 |    1.1e-05
 97 |  1.731e+70 | 7.1566 |  0.415 | 0.4375 |  0.0026574 | 0.00036075 | 0.00035957 |    3.0467e-11 | 4.4975e-12 | 4.5237e-12 |  7.736e-06
 98 | 1.8056e+70 |  6.904 | 0.3232 |  0.427 |  0.0026084 | 0.00035874 | 0.00036372 |    2.8849e-11 | 4.1913e-12 | 4.4008e-12 | 1.2225e-05
