# 
# Extracted radial surface brightness profile
#  
# SB [counts/s/cm^2/arcsec^2] vs. R [arcsec]
#  
# Date       : Tue Aug 16 15:05:32 2016
# Input file : cygnus_tot_img.fits
# Exp. file  : cygnus_tot_filt_wedgeA_emap.fits
# Bgd. file  : cygnus_tot_all_bmap.fits
# Binmap file: cygA_sn100_radial_binmap.fits
# Exp. time  :            1
# Sky X      :        4067.6845
# Sky Y      :        4029.3591
# X Centroid :       2641.62
# Y Centroid :       2734.39
# Min. counts:        10000
# Pixel scale:       0.49200000
#  
        Radius1      Radius2   SB              SBError         BGRD            BGRDError           AREA    
      390.156      396.060     7.04613E-09     5.60862E-11     2.55598E-09     3.37800E-11     1.06465E+04
      396.060      402.456     6.83021E-09     5.32652E-11     2.52943E-09     3.24144E-11     1.16537E+04
      402.456      408.852     6.74982E-09     5.30267E-11     2.52787E-09     3.24508E-11     1.18265E+04
      408.852      415.740     6.56000E-09     4.99036E-11     2.53988E-09     3.10518E-11     1.31656E+04
      415.740      422.628     6.51728E-09     4.97039E-11     2.55218E-09     3.11038E-11     1.33704E+04
      422.628      430.008     6.35397E-09     4.76103E-11     2.56559E-09     3.02532E-11     1.44800E+04
      430.008      437.880     6.08104E-09     4.50596E-11     2.56217E-09     2.92484E-11     1.57402E+04
      437.880      445.752     6.07750E-09     4.52739E-11     2.57329E-09     2.94598E-11     1.58721E+04
      445.752      454.116     5.91091E-09     4.34814E-11     2.58252E-09     2.87407E-11     1.70573E+04
      454.116      462.480     5.85171E-09     4.31054E-11     2.58714E-09     2.86616E-11     1.74954E+04
      462.480      471.828     5.65119E-09     4.04162E-11     2.61599E-09     2.74982E-11     1.96716E+04
      471.828      481.668     5.43355E-09     3.88468E-11     2.58150E-09     2.67762E-11     2.13793E+04
      481.668      492.000     5.37223E-09     3.79817E-11     2.56789E-09     2.62594E-11     2.33316E+04
      492.000      503.316     5.15935E-09     3.62500E-11     2.56503E-09     2.55597E-11     2.60037E+04
      503.316      515.124     5.13024E-09     3.62554E-11     2.56304E-09     2.56261E-11     2.75595E+04
      515.124      528.900     4.92858E-09     3.41546E-11     2.55436E-09     2.45884E-11     3.25709E+04
      528.900      545.136     4.79509E-09     3.25587E-11     2.52689E-09     2.36353E-11     3.89140E+04
      545.136      563.340     4.69616E-09     3.19282E-11     2.50745E-09     2.33303E-11     4.57259E+04
      563.340      585.480     4.52402E-09     3.02328E-11     2.50300E-09     2.24878E-11     5.82140E+04
